,label,weight0_0,weight1_0,weight2_0,weight3_0,weight0_1,weight1_1,weight2_1,weight3_1,weight0_2,weight1_2,weight2_2,weight3_2,weight0_3,weight1_3,weight2_3,weight3_3
0,7,0.0,0.0,0.0,0.0,45.0,0.0,39.0,47.0,42.0,44.0,59.0,0.0,0.0,7.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,47.0,55.0,10.0,46.0,60.0,19.0,46.0,52.0,7.0,0.0,0.0,0.0
2,9,0.0,11.0,0.0,0.0,51.0,64.0,0.0,34.0,37.0,61.0,34.0,43.0,0.0,6.0,15.0,0.0
3,9,0.0,0.0,0.0,0.0,60.0,27.0,0.0,47.0,37.0,44.0,24.0,53.0,0.0,0.0,20.0,15.0
4,7,0.0,0.0,0.0,0.0,44.0,0.0,37.0,38.0,45.0,44.0,44.0,0.0,0.0,0.0,8.0,0.0
5,6,0.0,0.0,8.0,0.0,29.0,46.0,54.0,33.0,13.0,10.0,32.0,38.0,0.0,0.0,16.0,27.0
6,2,0.0,11.0,0.0,0.0,50.0,17.0,21.0,51.0,10.0,22.0,12.0,64.0,0.0,0.0,0.0,15.0
7,0,9.0,16.0,12.0,0.0,55.0,33.0,28.0,50.0,28.0,26.0,35.0,30.0,0.0,7.0,6.0,0.0
8,7,0.0,0.0,0.0,0.0,51.0,0.0,22.0,50.0,54.0,37.0,24.0,0.0,34.0,9.0,0.0,0.0
9,6,0.0,17.0,14.0,0.0,47.0,34.0,52.0,51.0,0.0,0.0,40.0,64.0,0.0,0.0,12.0,25.0
10,2,7.0,10.0,0.0,0.0,48.0,22.0,8.0,44.0,38.0,41.0,37.0,46.0,0.0,0.0,0.0,23.0
11,7,0.0,0.0,0.0,0.0,38.0,0.0,0.0,28.0,49.0,12.0,36.0,15.0,62.0,28.0,0.0,0.0
12,7,0.0,0.0,0.0,0.0,39.0,13.0,60.0,40.0,43.0,34.0,40.0,0.0,0.0,0.0,9.0,0.0
13,6,0.0,0.0,9.0,0.0,36.0,34.0,49.0,42.0,33.0,0.0,36.0,64.0,0.0,0.0,0.0,31.0
14,3,0.0,0.0,0.0,0.0,30.0,0.0,0.0,25.0,54.0,62.0,37.0,52.0,0.0,0.0,28.0,8.0
15,1,0.0,0.0,0.0,0.0,51.0,40.0,34.0,47.0,33.0,57.0,56.0,29.0,0.0,0.0,0.0,0.0
16,7,0.0,0.0,0.0,0.0,39.0,0.0,43.0,31.0,48.0,20.0,56.0,16.0,23.0,24.0,8.0,0.0
17,6,0.0,0.0,7.0,0.0,40.0,49.0,51.0,38.0,10.0,0.0,19.0,42.0,0.0,0.0,13.0,21.0
18,6,0.0,7.0,12.0,0.0,39.0,45.0,42.0,43.0,0.0,20.0,32.0,43.0,0.0,0.0,13.0,16.0
19,6,0.0,0.0,0.0,0.0,39.0,44.0,56.0,31.0,0.0,0.0,36.0,43.0,0.0,0.0,14.0,25.0
20,7,0.0,0.0,0.0,0.0,44.0,6.0,41.0,37.0,54.0,41.0,46.0,9.0,30.0,6.0,8.0,0.0
21,6,0.0,0.0,0.0,0.0,25.0,53.0,62.0,38.0,37.0,0.0,64.0,64.0,0.0,0.0,16.0,18.0
22,8,0.0,0.0,0.0,0.0,39.0,61.0,44.0,32.0,50.0,57.0,50.0,49.0,0.0,0.0,0.0,0.0
23,0,0.0,16.0,15.0,0.0,53.0,26.0,25.0,48.0,34.0,26.0,9.0,45.0,0.0,13.0,24.0,9.0
24,7,0.0,0.0,0.0,0.0,59.0,0.0,26.0,59.0,60.0,45.0,29.0,6.0,43.0,6.0,0.0,0.0
25,6,0.0,0.0,0.0,0.0,36.0,56.0,54.0,39.0,41.0,20.0,39.0,57.0,0.0,0.0,23.0,12.0
26,9,7.0,16.0,0.0,0.0,51.0,39.0,13.0,49.0,43.0,49.0,29.0,55.0,0.0,11.0,20.0,9.0
27,8,7.0,8.0,0.0,0.0,53.0,44.0,57.0,58.0,48.0,54.0,27.0,38.0,0.0,0.0,0.0,0.0
28,7,0.0,0.0,0.0,0.0,53.0,10.0,21.0,36.0,55.0,63.0,43.0,14.0,0.0,15.0,0.0,0.0
29,7,0.0,0.0,0.0,0.0,54.0,18.0,55.0,51.0,61.0,54.0,34.0,0.0,35.0,15.0,0.0,0.0
30,0,0.0,15.0,15.0,0.0,51.0,36.0,23.0,57.0,55.0,22.0,26.0,38.0,0.0,16.0,13.0,0.0
31,0,0.0,15.0,7.0,0.0,48.0,17.0,23.0,44.0,53.0,18.0,11.0,56.0,0.0,11.0,15.0,0.0
32,7,0.0,0.0,0.0,0.0,29.0,22.0,31.0,46.0,62.0,59.0,27.0,8.0,15.0,14.0,0.0,0.0
33,7,0.0,0.0,0.0,0.0,42.0,21.0,52.0,50.0,64.0,55.0,35.0,0.0,20.0,0.0,0.0,0.0
34,0,0.0,13.0,8.0,0.0,54.0,9.0,38.0,49.0,50.0,22.0,27.0,61.0,0.0,15.0,16.0,0.0
35,7,0.0,0.0,12.0,0.0,39.0,13.0,56.0,36.0,55.0,53.0,43.0,7.0,0.0,0.0,11.0,0.0
36,7,0.0,0.0,0.0,0.0,32.0,11.0,53.0,37.0,60.0,53.0,50.0,18.0,11.0,9.0,9.0,0.0
37,7,0.0,0.0,0.0,0.0,37.0,0.0,48.0,41.0,60.0,50.0,58.0,7.0,11.0,0.0,10.0,0.0
38,1,0.0,0.0,0.0,0.0,39.0,49.0,60.0,37.0,31.0,48.0,48.0,44.0,0.0,0.0,0.0,0.0
39,8,0.0,7.0,0.0,0.0,45.0,49.0,41.0,53.0,56.0,46.0,49.0,50.0,13.0,0.0,0.0,6.0
