,label,number_of_holes,width,height,aspect_ratio,area,angle,radius,contour,hull_radius,weight0_0,weight1_0,weight2_0,weight3_0,weight4_0,weight5_0,weight6_0,weight7_0,weight0_1,weight1_1,weight2_1,weight3_1,weight4_1,weight5_1,weight6_1,weight7_1,weight0_2,weight1_2,weight2_2,weight3_2,weight4_2,weight5_2,weight6_2,weight7_2,weight0_3,weight1_3,weight2_3,weight3_3,weight4_3,weight5_3,weight6_3,weight7_3,weight0_4,weight1_4,weight2_4,weight3_4,weight4_4,weight5_4,weight6_4,weight7_4,weight0_5,weight1_5,weight2_5,weight3_5,weight4_5,weight5_5,weight6_5,weight7_5,weight0_6,weight1_6,weight2_6,weight3_6,weight4_6,weight5_6,weight6_6,weight7_6,weight0_7,weight1_7,weight2_7,weight3_7,weight4_7,weight5_7,weight6_7,weight7_7
0,7,0,18,30,0.586206896552,239.5,90.0,10.0707136209,43,13.393885765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,16.0,13.0,0.0,0.0,16.0,13.0,16.0,14.0,9.0,16.0,0.0,7.0,16.0,15.0,0.0,0.0,0.0,15.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0,19,30,0.620689655172,268.0,90.0,9.39855651944,41,13.869197611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,13.0,13.0,0.0,0.0,15.0,7.0,16.0,15.0,13.0,16.0,0.0,0.0,8.0,16.0,16.0,12.0,0.0,14.0,13.0,0.0,11.0,16.0,16.0,16.0,0.0,0.0,13.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,0,20,30,0.617100325817,298.5,77.4711923599,10.7307191755,40,12.5176099476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,6.0,16.0,16.0,16.0,16.0,0.0,0.0,11.0,16.0,14.0,16.0,16.0,13.0,0.0,0.0,15.0,10.0,0.0,7.0,16.0,16.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,0,21,30,0.648233505973,258.0,87.3974380493,10.9738728145,51,14.1209584836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,11.0,0.0,0.0,0.0,14.0,12.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,8.0,16.0,16.0,0.0,0.0,0.0,7.0,16.0,0.0,11.0,12.0,14.0,15.0,9.0,14.0,16.0,0.0,0.0,0.0,0.0,8.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,0,19,30,0.600790552083,208.5,87.7974019051,9.1750942877,43,13.6920485149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,9.0,0.0,0.0,16.0,16.0,16.0,12.0,16.0,14.0,8.0,14.0,16.0,11.0,0.0,0.0,0.0,12.0,10.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,1,22,30,0.583076875147,321.0,64.6538219452,10.7403419824,39,12.8256116667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,16.0,8.0,0.0,11.0,15.0,9.0,7.0,16.0,6.0,14.0,11.0,8.0,0.0,0.0,8.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,20,30,0.523715379245,204.0,79.3803453445,9.88202709263,43,14.2229687246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,6.0,0.0,0.0,0.0,10.0,9.0,14.0,14.0,0.0,0.0,8.0,13.0,16.0,16.0,0.0,8.0,12.0,10.0,8.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1,20,30,0.655172413793,432.5,90.0,12.3761499052,33,12.9420449536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,13.0,16.0,16.0,14.0,12.0,16.0,15.0,10.0,16.0,10.0,0.0,0.0,0.0,0.0,9.0,16.0,9.0,11.0,0.0,0.0,0.0,6.0,16.0,9.0,0.0,8.0,13.0,12.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,0,22,30,0.724137931034,208.5,90.0,9.32950276643,54,14.7296901573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,7.0,16.0,16.0,11.0,0.0,0.0,0.0,16.0,15.0,12.0,16.0,8.0,0.0,11.0,16.0,6.0,0.0,0.0,16.0,14.0,14.0,11.0,0.0,0.0,0.0,0.0,16.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6,0,23,30,0.587064672536,298.0,58.2405185699,12.1082284777,35,13.5932692577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,0.0,0.0,0.0,8.0,15.0,16.0,16.0,16.0,16.0,16.0,0.0,13.0,11.0,0.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
