label,filename,number_of_holes,width,height,aspect_ratio,area,angle,radius,contour,hull_radius,
7,7599,0,18,30,0.586206896552,239.5,90.0,10.0707136209,43,13.393885765,
5,7599,0,19,30,0.620689655172,268.0,90.0,9.39855651944,41,13.869197611,
9,7599,0,20,30,0.617100325817,298.5,77.4711923599,10.7307191755,40,12.5176099476,
9,7599,0,21,30,0.648233505973,258.0,87.3974380493,10.9738728145,51,14.1209584836,
7,7620,0,19,30,0.600790552083,208.5,87.7974019051,9.1750942877,43,13.6920485149,
6,7620,1,22,30,0.583076875147,321.0,64.6538219452,10.7403419824,39,12.8256116667,
2,7620,0,20,30,0.523715379245,204.0,79.3803453445,9.88202709263,43,14.2229687246,
0,7620,1,20,30,0.655172413793,432.5,90.0,12.3761499052,33,12.9420449536,
7,7627,0,22,30,0.724137931034,208.5,90.0,9.32950276643,54,14.7296901573,
6,7627,0,23,30,0.587064672536,298.0,58.2405185699,12.1082284777,35,13.5932692577,
2,7627,0,24,30,0.580246918768,237.0,78.6900672913,10.5687637607,47,14.556174937,
7,7627,0,21,30,0.689655172414,186.0,90.0,10.0420647296,50,14.3411955666,
7,7631,0,20,30,1.52631578947,219.5,90.0,9.2977176671,38,14.0393995961,
6,7631,0,22,30,0.618776655735,270.0,77.1957330704,11.6004881986,34,14.2678930365,
3,7631,0,19,30,1.61111111111,229.0,90.0,10.4145197232,39,13.1553244941,
1,7631,0,16,30,0.51724137931,297.0,90.0,11.3747845281,32,13.3225610577,
7,7666,0,20,30,0.655172413793,239.5,90.0,9.67955175902,47,13.3852590127,
6,7666,0,21,30,0.561403491911,224.0,68.1985931396,10.1509518877,59,13.3059186393,
6,7666,1,21,30,0.58249153333,334.5,57.9946174622,11.6633380289,40,12.8060141962,
6,7666,1,21,30,0.556187684788,303.5,61.1892051697,11.487310199,40,13.5252495675,
7,7680,0,20,30,0.655172413793,248.5,90.0,9.79046208014,54,14.1029984068,
6,7680,0,20,30,0.655172413793,319.0,90.0,11.1300710905,42,12.9738173186,
8,7680,1,18,30,0.544776077561,355.5,83.6598081589,10.8877415936,38,12.5569191851,
0,7680,1,22,30,0.724137931034,493.0,90.0,12.6841719218,30,13.249266701,
7,7698,0,22,30,0.724137931034,254.5,90.0,9.37061222027,45,16.0364059538,
6,7698,1,20,30,0.655172413793,359.5,90.0,11.5238195493,38,13.1797426764,
9,7698,1,22,30,0.652582153976,369.5,81.8698978424,11.4172138583,45,13.8177796153,
8,7698,1,20,30,0.655172413793,371.5,90.0,10.7065038339,38,13.6205775362,
7,7700,0,21,30,0.646808487248,257.5,82.8749833107,9.81620798102,50,13.3758198187,
7,7700,0,22,30,0.724137931034,303.0,90.0,9.78644295724,44,14.1061826578,
0,7700,1,20,30,0.655172413793,472.0,90.0,13.1175896315,28,13.5479724606,
0,7700,1,20,30,0.655172413793,457.5,90.0,12.6173741502,37,12.9160213833,
7,7707,0,18,30,0.586206896552,245.5,90.0,8.96340169888,44,13.7623187709,
7,7707,0,21,30,0.689655172414,279.0,90.0,9.19321301837,52,14.2048723146,
0,7707,1,20,30,0.655172413793,468.0,90.0,12.7606409697,30,13.2074102342,
7,7707,0,22,30,0.750649410857,268.0,72.8972740173,9.48956319383,47,13.1597215419,
7,7718,0,20,30,0.655172413793,275.0,90.0,10.133806466,48,13.3738539645,
7,7718,0,17,30,0.551724137931,257.0,90.0,9.57411325366,51,13.840354633,
1,7718,0,15,30,0.477822565726,315.0,86.6335394382,11.936854355,34,12.8448374282,
8,7718,2,21,30,0.689655172414,427.0,90.0,11.4660401302,37,14.6228822116,
7,7728,0,19,30,0.598944526939,256.5,87.7974019051,10.7545667382,37,13.5841452095,
7,7728,0,18,30,0.551581843644,215.0,85.4260787964,9.50105892128,45,12.9454858211,
2,7728,0,18,30,0.586206896552,217.0,90.0,9.9290445041,46,15.0435517215,
8,7728,2,19,30,0.620689655172,382.0,90.0,10.3998786763,39,14.1951969006,
7,7759,0,18,30,1.70588235294,234.5,90.0,9.85997137962,45,14.7789564844,
7,7759,1,18,30,1.80701752532,290.0,-85.9143829346,10.8985526561,40,12.4637526775,
5,7759,0,24,30,1.71618613051,280.5,-62.3540229797,10.2044074247,50,14.1016452985,
9,7759,1,21,30,1.64084518424,310.0,-66.8014068604,10.1615423599,49,11.9230558196,
7,7770,0,21,30,0.680911741126,223.0,85.2363581657,9.83649315433,54,13.2699468783,
7,7770,0,20,30,0.62139921314,275.5,85.4260787964,9.83074914643,46,13.2699182819,
7,7770,0,20,30,0.608247455594,269.5,82.5685920715,10.1608292752,43,12.6768416644,
0,7770,0,20,30,0.655172413793,290.5,90.0,11.3411883837,60,13.5140259336,
7,7777,0,19,30,1.61111111111,217.5,90.0,9.87154330785,54,13.5979121828,
7,7777,0,20,30,1.52631578947,255.5,90.0,9.58790345808,43,15.2813815512,
7,7777,0,19,30,0.620689655172,247.5,90.0,9.47375074881,55,13.4776921509,
7,7777,0,22,30,0.69040247167,311.0,79.6951532364,10.725681937,43,13.1148673557,
7,7779,0,21,30,0.689655172414,293.5,90.0,9.47258033068,50,13.8355737055,
7,7779,0,21,30,0.689655172414,278.5,90.0,9.99176120844,47,14.8399676565,
7,7779,0,19,30,0.620689655172,248.5,90.0,10.2025002123,44,13.5742497738,
9,7779,1,19,30,0.613793057191,292.5,78.6900672913,11.1845990841,42,12.6261930997,
7,7817,0,22,30,0.724137931034,255.5,90.0,10.2410706111,43,15.384686638,
8,7817,1,18,30,0.586206896552,346.0,90.0,10.9504429212,35,14.4093809525,
