,label,number_of_holes,area,radius,contour,hull_radius,weight4_1,weight0_2,weight1_2,weight2_2,weight3_2,weight4_2,weight5_2,weight6_2,weight7_2,weight2_3,weight3_3,weight4_3,weight5_3,weight7_3,weight2_4,weight3_4,weight4_4,weight5_4,weight7_4,weight0_5,weight1_5,weight2_5,weight3_5,weight4_5,weight5_5,weight6_5,weight7_5,weight3_6,weight4_6,weight5_6,weight6_6,weight7_6
0,7,0.0,239.5,10.0707136209,43.0,13.393885765,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,16.0,13.0,14.0,0.0,7.0,16.0,15.0,0.0,0.0,15.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,268.0,9.39855651944,41.0,13.869197611,0.0,8.0,8.0,13.0,13.0,0.0,0.0,15.0,7.0,13.0,16.0,0.0,0.0,16.0,0.0,14.0,13.0,0.0,16.0,16.0,16.0,0.0,0.0,13.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0
2,9,0.0,298.5,10.7307191755,40.0,12.5176099476,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,6.0,16.0,16.0,0.0,0.0,16.0,16.0,13.0,0.0,0.0,10.0,0.0,7.0,16.0,16.0,16.0,16.0,15.0,0.0,0.0,8.0,7.0,0.0,0.0
3,9,0.0,258.0,10.9738728145,51.0,14.1209584836,0.0,12.0,16.0,11.0,0.0,0.0,0.0,14.0,12.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,16.0,0.0,11.0,12.0,14.0,15.0,9.0,14.0,16.0,0.0,8.0,12.0,14.0,0.0
4,7,0.0,208.5,9.1750942877,43.0,13.6920485149,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,16.0,16.0,12.0,8.0,14.0,16.0,11.0,0.0,0.0,12.0,10.0,12.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
5,6,1.0,321.0,10.7403419824,39.0,12.8256116667,0.0,0.0,0.0,14.0,16.0,16.0,16.0,8.0,0.0,9.0,7.0,16.0,6.0,11.0,0.0,8.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,12.0,16.0,11.0
6,2,0.0,204.0,9.88202709263,43.0,14.2229687246,0.0,7.0,15.0,6.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,8.0,13.0,16.0,12.0,10.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,7.0,8.0
7,0,1.0,432.5,12.3761499052,33.0,12.9420449536,8.0,13.0,16.0,16.0,14.0,12.0,16.0,15.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,9.0,0.0,8.0,13.0,12.0,14.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
8,7,0.0,208.5,9.32950276643,54.0,14.7296901573,0.0,12.0,12.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,16.0,12.0,0.0,11.0,16.0,6.0,0.0,16.0,14.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6,0.0,298.0,12.1082284777,35.0,13.5932692577,9.0,8.0,15.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,12.0,16.0,9.0
